"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank","cellchat.prob","cellchat.pval"
"DermalPapilla","DermalPapilla","EDIL3","ITGB5",0.00259870828517898,3803.9,0.142599830226869,1069,2.16728347151551,345,1.2054952940658,1273,0.894835746178685,4979,0,11353.5,0.0219628990194524,0
"DermalPapilla","DermalPapilla","EDN3","EDNRA",0.000651807652743549,3546.1,0.370581671168371,157,3.66779635993989,119,1.40954166012262,797,0.891725024431735,5304,0,11353.5,0.00735013940012903,0
"DermalPapilla","DermalPapilla","EFEMP2","PLSCR4",0.0370419336472496,9609.9,0.0294037920032465,9815,0.740447748246279,7015,0.512135014609421,7321,0.83325727914947,12545,0,11353.5,0.00407233241336238,0
"DermalPapilla","DermalPapilla","FABP5","RXRA",0.110074038666669,14095.9,0.0181022010250555,15182,0.397305824577006,14896,0.206388756985382,15598,0.826671724498344,13450,0,11353.5,0.00454165238341072,0
"DermalPapilla","DermalPapilla","FAM3C","LAMP1",0.743684895478907,17497.3,0.0113966031287386,20823,0.310158489145008,17382,0.210193210544857,15466,0.845575384226605,10959,0.001,22856.5,0.00539413817404573,0
"DermalPapilla","DermalPapilla","FAM3C","LIFR",0.743684895478907,18189.9,0.0127305032830058,19503,0.296445729118672,17785,0.23951625403593,14411,0.803016943886486,16394,0.001,22856.5,0.00180453533330042,0
"DermalPapilla","DermalPapilla","FBLN1","ITGB1",0.743684895478907,18103.5,0.0106327107061245,21653,0.288934339339726,18031,0.0211598289118993,22799,0.892941524628635,5178,0.001,22856.5,0.00923252762927697,0.16
"DermalPapilla","DermalPapilla","FBN1","ITGB1",0.235590990400329,12093.3,0.0142160743956253,18162,0.448961074365182,13429,0.306841912893509,12162,0.891239971145188,5360,0,11353.5,0.00923252762927697,0
"DermalPapilla","DermalPapilla","FGF10","FGFR1",0.0224899838033285,4865.5,0.162562590179207,846,1.81728543824675,566,0.880360467298857,2912,0.863836552243667,8650,0,11353.5,0.00735013940012903,0
"DermalPapilla","DermalPapilla","FGF10","FGFR2",0.0080105168441386,7153.9,0.314921189166968,208,1.99149861485116,429,0.572981451489584,6284,0.793140018103179,17495,0,11353.5,0.00113929380316509,0
"DermalPapilla","DermalPapilla","FGF2","CD44",1,22202.1,0.0153051279634231,17250,0.0505104912923059,25938,-0.281169813852355,29060,0.845836513057373,10923,0.997,27839.5,0.00652118103679211,0
"DermalPapilla","DermalPapilla","FGF2","FGFR1",0.0224899838033285,6194.7,0.0569722950353746,4620,1.10601696060296,2864,0.824539995037396,3393,0.862984325862522,8743,0,11353.5,0.00735013940012903,0
"DermalPapilla","DermalPapilla","FGF2","FGFR2",0.130840677094287,7931.9,0.110368461048342,1629,1.28023013720737,1808,0.517160979228123,7252,0.791951880329925,17617,0,11353.5,0.00113929380316509,0
"DermalPapilla","DermalPapilla","FGF2","FGFR3",0.267290756378776,11319.5,0.0744809650019852,3123,0.721424626779603,7357,0.322472025621503,11677,0.736481829389458,23087,0,11353.5,0.00113929380316509,0
"DermalPapilla","DermalPapilla","FGF2","NRP1",0.178632979179243,10989.3,0.0375835804077642,7632,0.598523801201528,9697,0.422800294449875,9080,0.795795861042208,17184,0,11353.5,0.00113929380316509,0
"DermalPapilla","DermalPapilla","FGF2","SDC1",0.24144221304906,9676.3,0.0753294749363444,3053,0.839833632958237,5561,0.400536429894012,9600,0.78092154031643,18814,0,11353.5,0.00113929380316509,0
"DermalPapilla","DermalPapilla","FGF2","SDC2",0.0224899838033285,6560.1,0.0684072499981084,3541,1.11296533992204,2806,0.758703187383052,4005,0.84440424266365,11095,0,11353.5,0.00567062697513413,0
"DermalPapilla","DermalPapilla","FGF7","FGFR1",0.0224899838033285,6019.3,0.040247242607774,7037,0.977961427628871,3950,0.840310027095285,3260,0.899875396466007,4496,0,11353.5,0.0115998212441284,0
"DermalPapilla","DermalPapilla","FGF7","FGFR2",0.0224899838033285,6952.9,0.0779681812941044,2878,1.15217460423328,2521,0.532931011286013,6930,0.844522571330486,11082,0,11353.5,0.00180453533330042,0
"DermalPapilla","DermalPapilla","FGF7","FGFR3",0.157045473318842,10856.7,0.0526159858267032,5141,0.593369093805512,9825,0.338242057679393,11217,0.799520776354885,16747,0,11353.5,0.00180453533330042,0
"DermalPapilla","DermalPapilla","FGF7","NRP1",0.0419645767704808,10921.3,0.0265503693997382,10929,0.470468268227437,12862,0.438570326507765,8755,0.84758217302008,10707,0,11353.5,0.00180453533330042,0
"DermalPapilla","DermalPapilla","FN1","CD44",0.127568653239362,9790.3,0.0168296445373294,16065,0.653989723718592,8570,0.35521261429908,10771,0.925131153791528,2192,0,11353.5,0.0474263442328244,0
