"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank","cellchat.prob","cellchat.pval"
"Lymphatic","Muscle","CD99","CD81",0.10930635618625,8217.4,0.0103795547981412,19374,0.671627532995885,7777,0.650231298387215,4754,0.946704021121034,611,0,8571,0.0748182302945626,0
"Lymphatic","Muscle","COL4A1","CD44",0.482647701451659,16146.9,0.0110114960917479,18770,0.214345880046129,18733,0.0813605987931321,19060,0.899573078887853,4539,0.025,19632.5,0.0104275965156133,0
"Lymphatic","Muscle","COL4A2","CD44",0.504864215615263,15417.8,0.0140710251366149,16151,0.284781684772618,16555,0.074447064949834,19302,0.892073098163904,5271,0.03,19810,0.00660449841522314,0
"Lymphatic","Muscle","COL6A2","CD44",1,24074.1,0.00371424456559595,28092,-0.189371454987409,29244,-0.337998195022448,28136,0.891125480228321,5382,1,29516.5,0.00660449841522314,0.92
"Lymphatic","Muscle","FBN1","ITGB1",0.124619604019342,8585.4,0.0156952489356465,14975,0.606988565991161,8910,0.602019272701825,5351,0.893802379276062,5120,0,8571,0.0103313056917561,0
"Lymphatic","Muscle","FN1","CD44",0.0157849725091656,5401.4,0.0256219260685924,9906,1.12342465100178,2925,0.720500526801708,4024,0.932595983919865,1581,0,8571,0.0480070291442112,0
"Lymphatic","Muscle","FN1","PLAUR",0.0273117490203111,6290,0.0228465836285602,11054,1.22863355200434,2280,0.866946733975273,2823,0.878763559787449,6722,0,8571,0.00868650887297117,0
"Lymphatic","Muscle","FN1","SDC2",0.00765437415334121,5357.6,0.0345099098085769,7299,1.41755434610978,1421,1.06630777551171,1788,0.870858967976059,7709,0,8571,0.00868650887297117,0
"Lymphatic","Muscle","GNAI2","ADRA2A",0.000832961324889708,2808.4,0.115337378919232,1429,1.56037301892259,973,1.44285944373546,650,0.922061413781221,2419,0,8571,0.0338635669670943,0
"Lymphatic","Muscle","GNAI2","CAV1",0.0500985479333735,5558.6,0.0198869523349889,12480,1.00961146450752,3793,0.98148103150658,2182,0.944175718255887,767,0,8571,0.0760909940526513,0
"Lymphatic","Muscle","GNAI2","EDNRA",0.0147533860091313,5628.4,0.0259439326320276,9773,1.14945918317242,2748,0.937563765203893,2415,0.898620318106789,4635,0,8571,0.00868650887297117,0
"Lymphatic","Muscle","GNAI2","EDNRB",0.0872972405558362,6900,0.0172475568275458,13946,0.89020685322765,5008,0.887530661765364,2703,0.902353941976101,4272,0,8571,0.0136981864781027,0
"Lymphatic","Muscle","GRN","TNFRSF1A",0.0944035658483907,11017.2,0.0168866627432912,14166,0.425584756864012,12753,0.348907768161917,10052,0.854737201226448,9544,0,8571,0.00412449215399251,0
"Lymphatic","Muscle","HEBP1","ADRA2A",0.00217939142914063,3430.2,0.209796776546783,517,1.5006841837088,1123,1.25328197723194,1090,0.886592910886626,5850,0,8571,0.00727093950149334,0
"Lymphatic","Muscle","HLA-A","APLP2",0.748144914985807,12190.6,0.0067584926467017,23915,0.352908624564053,14653,0.283215714197443,11909,0.927926576774323,1905,0,8571,0.0169830410106096,0.9
"Lymphatic","Muscle","HSPG2","FGFR1",0.56556855092255,15246.2,0.00954858257622154,20265,0.305034788295811,15988,0.267238324713953,12380,0.767257537372193,19027,0,8571,0.00115392977115385,0
"Lymphatic","Muscle","HSPG2","ITGB1",0.114760361438239,8885,0.0156674177963083,14993,0.619622116677904,8684,0.56022609554416,5888,0.882552063692981,6289,0,8571,0.0103313056917561,0
"Lymphatic","Muscle","LAMA4","CD44",0.040225475378021,7483.8,0.0209482297489767,11944,0.707418722838937,7209,0.468444967138456,7454,0.924055656738646,2241,0,8571,0.0394038256653731,0
"Lymphatic","Muscle","LAMA4","ITGA7_ITGB1",0.00765437415334121,4251,0.0373558210033193,6737,1.45070434403723,1291,1.02924109062532,1945,0.918606986821603,2711,0,8571,0.0209771181091647,0
"Lymphatic","Muscle","LAMB1","CD44",0.750642401596015,15239.5,0.0143788616939473,15894,0.336134227972567,15141,0.124589969153989,17393,0.882316505038562,6324,0.116,21445.5,0.00660449841522314,0
"Lymphatic","Muscle","LAMB1","ITGA7_ITGB1",0.0156975257575011,6681,0.0256410298200408,9895,1.07941984917086,3281,0.68538609264085,4366,0.874280656341947,7292,0,8571,0.00346072837798868,0
"Lymphatic","Muscle","LAMB2","CD44",1,17386.6,0.0156616499955369,15000,0.224311155551694,18424,0.0377039907115545,20670,0.872410796886446,7519,0.703,25320,0.00660449841522314,0
